ボルテックス番号, 座標, 合力, VVI作用, 対象VVI, VVI反作用, ピニング力, ローレンツ力, 熱ゆらぎ, 現在速度
10 , 6.209282, 0.028856, -0.000124,11.000000,0.040534,1.999989,-1.965000,-0.046485, 0.028856
11 , 15.202619, 0.136325, -0.040491,12.000000,0.000124,1.999391,-1.965000,0.142301, 0.136325
12 , 18.409283, 0.238900, 0.000000,0.000000,0.040363,1.999994,-1.965000,0.163540, 0.238900
1 , 2.991852, 0.427763, -0.039965,4.000000,0.000000,1.996344,-1.965000,0.436384, 0.427763
2 , 6.208461, 0.004288, -0.000124,3.000000,0.040076,1.999973,-1.965000,-0.070652, 0.004288
3 , 15.203456, -0.320887, -0.040580,4.000000,0.000124,1.999517,-1.965000,-0.314947, -0.320887
4 , 18.407920, -0.175928, 0.000000,0.000000,0.040519,1.999946,-1.965000,-0.251328, -0.175928
5 , 3.002358, 0.116032, -0.040335,8.000000,0.000000,1.999351,-1.965000,0.122016, 0.116032
6 , 6.209818, 0.212049, -0.000125,7.000000,0.040429,1.999997,-1.965000,0.136717, 0.212049
7 , 15.196674, 0.010057, -0.040235,8.000000,0.000125,1.997968,-1.965000,0.017199, 0.010057
8 , 18.409682, -0.008593, 0.000000,0.000000,0.040133,1.999997,-1.965000,-0.083701, -0.008593
9 , 3.001059, 0.214221, -0.040295,12.000000,0.000000,1.999112,-1.965000,0.220405, 0.214221
10 , 6.209497, -0.044213, -0.000125,11.000000,0.040440,1.999996,-1.965000,-0.119504, -0.044213
11 , 15.200524, 0.158437, -0.040445,12.000000,0.000124,1.999002,-1.965000,0.164755, 0.158437
12 , 18.408347, -0.115174, 0.000000,0.000000,0.040334,1.999969,-1.965000,-0.190464, -0.115174
1 , 2.990281, -0.115496, -0.039836,4.000000,0.000000,1.995682,-1.965000,-0.106343, -0.115496
2 , 6.210123, -2.043151, -0.000124,3.000000,0.039984,0.000000,-1.965000,-0.117988, -2.043151
3 , 15.203567, -0.100148, -0.040577,4.000000,0.000124,1.999536,-1.965000,-0.094232, -0.100148
4 , 18.408122, 0.249789, 0.000000,0.000000,0.040480,1.999956,-1.965000,0.174382, 0.249789
